time,accel.x,accel.y,accel.z,rate.x,rate.y,rate.z,yaw,yaw_c,pitch,roll
0,0.007178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.032301,0.104978,9.856228,0.003011,0.006167,0.001603,-0.400801,-0.400801,3.883975,1.599516
2,0.026917,0.074471,9.883145,0.001946,-0.009813,-0.000528,-0.400132,-0.400132,3.883828,1.599335
3,0.030506,0.095108,9.797907,-0.005511,-0.011943,-0.002658,-0.400363,-0.400363,3.882001,1.595807
4,0.091519,0.087930,9.829310,-0.005511,0.008297,-0.000528,-0.399470,-0.399470,3.881118,1.597587
5,0.017945,0.091519,9.849947,-0.006577,0.002971,-0.010115,-0.400019,-0.400019,3.881004,1.597201
6,0.055629,0.068191,9.835591,0.004076,0.000840,0.004799,-0.399109,-0.399109,3.880729,1.598252
7,0.068191,0.063704,9.831104,0.003011,-0.000225,-0.006919,-0.400948,-0.400948,3.882477,1.596805
8,0.043068,0.062807,9.842769,-0.002315,-0.001290,-0.001593,-0.401003,-0.401003,3.882593,1.596210
9,0.018842,0.113053,9.882248,-0.004446,0.001906,0.001603,-0.400723,-0.400723,3.881605,1.597218
10,-0.006281,0.061013,9.814955,-0.002315,-0.008747,0.003734,-0.398475,-0.398475,3.881171,1.596657
11,0.026020,0.040376,9.842769,0.006207,-0.008747,0.003734,-0.398832,-0.398832,3.879227,1.599569
12,0.049348,0.050246,9.824824,-0.003381,0.000840,0.004799,-0.399317,-0.399317,3.877043,1.600039
13,0.020637,0.061013,9.893911,0.001946,-0.002356,-0.000528,-0.397279,-0.397279,3.877830,1.602139
14,-0.006281,0.031404,9.817646,-0.006577,0.002971,-0.006919,-0.398302,-0.398302,3.878217,1.600383
15,-0.012561,0.056526,9.847255,-0.000185,-0.004486,0.006929,-0.397820,-0.397820,3.875762,1.601405
16,-0.000897,0.007178,9.885837,-0.003381,0.006167,0.004799,-0.397938,-0.397938,3.877949,1.600197
17,0.005383,0.122025,9.845461,0.010468,0.007232,0.009060,-0.397579,-0.397579,3.879758,1.601575
18,-0.001794,0.098697,9.829310,0.003011,-0.005552,-0.002658,-0.397102,-0.397102,3.881442,1.601624
19,0.012561,0.061910,9.884042,0.000881,0.002971,-0.000528,-0.397773,-0.397773,3.881332,1.600743
20,0.023328,0.111258,9.882248,-0.005511,-0.002356,0.000538,-0.397710,-0.397710,3.881323,1.599790
21,0.048451,0.091519,9.928007,-0.003381,0.002971,-0.001593,-0.396092,-0.396092,3.880176,1.599916
22,0.105875,0.074471,9.842769,0.006207,0.000840,0.004799,-0.395720,-0.395720,3.882471,1.599228
23,0.000897,0.037684,9.844563,-0.001250,0.002971,0.002668,-0.395121,-0.395121,3.884152,1.600015
24,0.041273,0.054732,9.919931,0.003011,0.000840,0.002668,-0.395765,-0.395765,3.885015,1.599622
25,0.038582,0.023328,9.830208,0.008338,0.001906,0.004799,-0.395416,-0.395416,3.886458,1.599054
26,0.034095,0.019739,9.849947,0.000881,-0.009813,0.007995,-0.395136,-0.395136,3.885469,1.598845
27,0.013459,0.093313,9.838283,-0.002315,0.007232,-0.002658,-0.394665,-0.394665,3.886909,1.600475
28,0.017048,0.068191,9.816749,0.003011,0.000840,0.010125,-0.394138,-0.394138,3.886036,1.600162
