time,pitch,Name:2,Name:3,Name:4,Name:5,Name:6,Name:7,Name:8,Name:9,Name:10
0,-0.767144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,-0.798547,-0.296988,9.843666,0.008338,0.006167,0.002668,41.811096,41.811096,32.909157,-16.307894
2,-0.794958,-0.286221,9.822132,0.000881,0.005101,0.001603,41.809769,41.809769,32.909710,-16.307264
3,-0.812903,-0.277248,9.827516,0.003011,0.007232,0.004799,41.811581,41.811581,32.909889,-16.305149
4,-0.818287,-0.318522,9.782654,-0.004446,0.004036,0.004799,41.812927,41.812927,32.909332,-16.304770
5,-0.870327,-0.342747,9.858919,0.004076,-0.003421,-0.000528,41.810711,41.810711,32.909412,-16.304747
6,-0.815595,-0.261098,9.799701,-0.000185,0.000840,0.000538,41.810669,41.810669,32.909775,-16.304754
7,-0.796753,-0.231489,9.894809,0.003011,0.002971,0.001603,41.810192,41.810192,32.910919,-16.305843
8,-0.822773,-0.321213,9.829310,-0.006577,0.002971,0.003734,41.808556,41.808556,32.910633,-16.306234
9,-0.778808,-0.305960,9.826618,0.001946,0.007232,-0.001593,41.808304,41.808304,32.911575,-16.306967
10,-0.816492,-0.333775,9.810468,0.001946,-0.002356,0.002668,41.808956,41.808956,32.909958,-16.307211
11,-0.744713,-0.317624,9.773681,0.004076,-0.005552,-0.000528,41.808743,41.808743,32.910782,-16.307430
12,-0.785089,-0.312241,9.861611,-0.009772,-0.000225,-0.007985,41.809990,41.809990,32.910069,-16.307226
13,-0.793164,-0.293399,9.819441,-0.000185,0.000840,-0.003723,41.808777,41.808777,32.911533,-16.307487
14,-0.732151,-0.301474,9.819441,-0.007642,-0.004486,-0.003723,41.807453,41.807453,32.912086,-16.309288
15,-0.773425,-0.321213,9.840975,0.000881,-0.001290,-0.003723,41.807228,41.807228,32.913795,-16.310968
16,-0.741124,-0.267379,9.779064,0.001946,-0.007682,-0.001593,41.807053,41.807053,32.911976,-16.311060
17,-0.770733,-0.309549,9.804188,-0.005511,-0.001290,-0.005854,41.809196,41.809196,32.910858,-16.309519
18,-0.812006,-0.320316,9.817646,-0.000185,-0.005552,-0.001593,41.807049,41.807049,32.909431,-16.314075
19,-0.745610,-0.323905,9.807776,0.000881,0.002971,0.001603,41.807926,41.807926,32.910137,-16.311749
20,-0.797650,-0.334672,9.834694,-0.008707,0.001906,-0.001593,41.806793,41.806793,32.910992,-16.313562
21,-0.855074,-0.298782,9.820338,-0.003381,-0.003421,-0.001593,41.807896,41.807896,32.910248,-16.313190
22,-0.798547,-0.305063,9.837385,0.001946,-0.004486,-0.009050,41.807152,41.807152,32.910061,-16.313473
23,-0.770733,-0.317624,9.811365,0.009403,-0.007682,-0.004789,41.806442,41.806442,32.910126,-16.311283
24,-0.822773,-0.307755,9.795215,-0.004446,-0.005552,-0.000528,41.805355,41.805355,32.908710,-16.312590
25,-0.782397,-0.322111,9.809571,-0.004446,-0.004486,0.005864,41.806530,41.806530,32.908611,-16.311815
26,-0.805725,-0.300577,9.765606,-0.002315,0.002971,-0.000528,41.805588,41.805588,32.910652,-16.311943
27,-0.816492,-0.305960,9.827516,0.000881,0.002971,-0.002658,41.805504,41.805504,32.911129,-16.310757
28,-0.806623,-0.301474,9.823927,0.000881,-0.001290,-0.002658,41.805454,41.805454,32.911491,-16.309675
29,-0.794958,-0.345439,9.832899,-0.001250,-0.002356,0.001603,41.804630,41.804630,32.911915,-16.310715
30,-0.777013,-0.292502,9.889425,0.006207,0.002971,-0.002658,41.802914,41.802914,32.910980,-16.311995
31,-0.731254,-0.277248,9.835591,0.004076,0.005101,0.002668,41.802422,41.802422,32.913517,-16.313715
32,-0.806623,-0.296988,9.818543,0.003011,-0.001290,-0.000528,41.800606,41.800606,32.913692,-16.313091
33,-0.792267,-0.320316,9.813160,-0.001250,-0.002356,-0.009050,41.799232,41.799232,32.912720,-16.312746
34,-0.786883,-0.340056,9.855330,0.004076,-0.001290,-0.009050,41.798046,41.798046,32.913681,-16.313730
35,-0.867635,-0.283529,9.768297,0.001946,-0.001290,0.001603,41.799004,41.799004,32.913406,-16.311872
36,-0.795856,-0.261098,9.878658,0.001946,-0.001290,-0.000528,41.797771,41.797771,32.914486,-16.311781
37,-0.828156,-0.223414,9.798804,0.004076,-0.004486,0.001603,41.798065,41.798065,32.913925,-16.310768
38,-0.791369,-0.292502,9.788935,0.000881,-0.001290,0.004799,41.797565,41.797565,32.914673,-16.309067
39,-0.742918,-0.295193,9.843666,0.006207,-0.008747,0.005864,41.798264,41.798264,32.912945,-16.308071
40,-0.787780,-0.304166,9.788037,-0.007642,-0.007682,0.000538,41.799397,41.799397,32.910805,-16.306829
41,-0.790472,-0.341850,9.832899,0.005142,0.002971,0.001603,41.801769,41.801769,32.909859,-16.305035
42,-0.773425,-0.299680,9.823927,0.004076,0.000840,0.004799,41.802956,41.802956,32.911922,-16.303043
43,-0.741124,-0.322111,9.839180,0.001946,-0.003421,0.000538,41.803688,41.803688,32.911331,-16.302256
44,-0.738432,-0.279043,9.844563,-0.001250,-0.006617,-0.007985,41.804626,41.804626,32.907635,-16.302109
45,-0.806623,-0.338261,9.838283,0.000881,-0.007682,0.001603,41.804417,41.804417,32.907574,-16.302200
46,-0.796753,-0.304166,9.858919,0.004076,-0.004486,-0.001593,41.802670,41.802670,32.909798,-16.300591
47,-0.735740,-0.240461,9.826618,-0.004446,0.000840,-0.005854,41.802353,41.802353,32.908314,-16.300863
48,-0.788678,-0.255715,9.829310,0.003011,-0.004486,0.004799,41.804398,41.804398,32.906151,-16.300581
49,-0.782397,-0.312241,9.802393,0.005142,-0.006617,-0.000528,41.804672,41.804672,32.904312,-16.300299
50,-0.773425,-0.294296,9.898398,-0.002315,0.007232,0.001603,41.804710,41.804710,32.905704,-16.301838
51,-0.808417,-0.314035,9.803290,-0.002315,0.009363,-0.002658,41.803894,41.803894,32.906136,-16.303125
52,-0.778808,-0.282632,9.797907,0.004076,-0.007682,0.001603,41.806065,41.806065,32.905773,-16.300829
53,-0.771630,-0.314933,9.785345,-0.000185,-0.001290,-0.002658,41.806164,41.806164,32.904392,-16.299171
54,-0.754582,-0.344542,9.832899,-0.000185,-0.003421,-0.002658,41.806168,41.806168,32.902489,-16.299526
55,-0.777013,-0.267379,9.832899,0.000881,0.001906,0.003734,41.805737,41.805737,32.904408,-16.300842
56,-0.750096,-0.309549,9.833797,0.004076,-0.004486,-0.002658,41.806633,41.806633,32.902470,-16.300089
57,-0.744713,-0.235078,9.842769,0.005142,-0.001290,0.000538,41.806480,41.806480,32.903561,-16.299181
58,-0.785089,-0.286221,9.838283,0.004076,-0.004486,0.000538,41.806412,41.806412,32.903534,-16.298471
59,-0.825465,-0.269173,9.837385,-0.000185,-0.004486,-0.000528,41.805241,41.805241,32.902351,-16.301649
60,-0.799445,-0.268276,9.862508,-0.002315,0.006167,0.000538,41.805470,41.805470,32.902782,-16.302601
61,-0.750993,-0.301474,9.847255,0.005142,-0.000225,0.002668,41.803978,41.803978,32.902538,-16.302429
62,-0.834437,-0.305063,9.847255,0.001946,0.006167,-0.003723,41.803535,41.803535,32.905338,-16.305452
63,-0.785089,-0.340056,9.822132,0.004076,0.002971,0.001603,41.804386,41.804386,32.906551,-16.305086
64,-0.774322,-0.339158,9.809571,0.005142,0.002971,-0.000528,41.804226,41.804226,32.907265,-16.305895
65,-0.783294,-0.299680,9.863405,-0.003381,0.006167,-0.002658,41.802105,41.802105,32.905720,-16.307261
66,-0.806623,-0.198291,9.872378,0.000881,-0.001290,-0.003723,41.802570,41.802570,32.904690,-16.306400
67,-0.753685,-0.346336,9.836488,0.003011,-0.000225,-0.001593,41.802544,41.802544,32.904922,-16.307354
68,-0.801239,-0.287118,9.849947,-0.000185,0.000840,-0.002658,41.801975,41.801975,32.907181,-16.308861
69,-0.757274,-0.288913,9.817646,0.003011,0.000840,-0.001593,41.801907,41.801907,32.906780,-16.308043
70,-0.773425,-0.285324,9.874172,-0.002315,-0.009813,0.002668,41.800827,41.800827,32.905373,-16.309839
71,-0.767144,-0.260201,9.849947,-0.001250,-0.002356,0.000538,41.800919,41.800919,32.905769,-16.307707
72,-0.728562,-0.340056,9.814057,0.007272,-0.009813,0.004799,41.801620,41.801620,32.905300,-16.306213
73,-0.798547,-0.279940,9.794317,-0.004446,-0.007682,0.001603,41.801613,41.801613,32.903393,-16.304989
74,-0.813801,-0.274557,9.858022,0.001946,0.006167,-0.000528,41.801418,41.801418,32.904606,-16.305929
75,-0.769836,-0.318522,9.759325,0.006207,-0.003421,-0.001593,41.801273,41.801273,32.902664,-16.305630
76,-0.778808,-0.293399,9.760222,-0.000185,0.008297,0.001603,41.799892,41.799892,32.902950,-16.306608
77,-0.813801,-0.295193,9.811365,-0.000185,0.004036,0.000538,41.799816,41.799816,32.903809,-16.308088
78,-0.715104,-0.314933,9.854433,-0.003381,0.002971,0.001603,41.798424,41.798424,32.904984,-16.309195
79,-0.803931,-0.248537,9.853536,-0.004446,0.002971,0.000538,41.796711,41.796711,32.906197,-16.310595
80,-0.811109,-0.321213,9.794317,-0.005511,0.002971,0.000538,41.795776,41.795776,32.908863,-16.312160
81,-0.775219,-0.302371,9.793421,-0.003381,0.001906,-0.005854,41.794960,41.794960,32.910557,-16.314045
82,-0.788678,-0.265584,9.820338,-0.005511,0.002971,0.006929,41.795990,41.795990,32.910423,-16.315409
83,-0.737535,-0.309549,9.873275,0.006207,-0.006617,0.005864,41.796917,41.796917,32.908489,-16.314537
84,-0.785986,-0.283529,9.769195,-0.003381,-0.005552,-0.000528,41.796135,41.796135,32.908806,-16.317385
85,-0.759966,-0.281735,9.837385,-0.005511,-0.003421,-0.004789,41.796959,41.796959,32.907093,-16.316671
86,-0.770733,-0.273659,9.788037,-0.002315,0.007232,0.001603,41.794147,41.794147,32.907158,-16.318678
87,-0.744713,-0.288913,9.783551,-0.001250,-0.004486,-0.000528,41.794827,41.794827,32.906303,-16.319263
88,-0.752788,-0.265584,9.814057,0.001946,0.005101,-0.001593,41.793247,41.793247,32.908440,-16.318401
89,-0.784191,-0.336467,9.839180,-0.006577,0.006167,0.001603,41.792011,41.792011,32.910927,-16.318823
90,-0.840718,-0.331980,9.871481,-0.002315,0.005101,0.005864,41.792545,41.792545,32.911297,-16.320204
91,-0.753685,-0.302371,9.894809,0.005142,0.001906,0.004799,41.792725,41.792725,32.912724,-16.321182
92,-0.734843,-0.313138,9.806879,0.010468,0.004036,-0.000528,41.791100,41.791100,32.913708,-16.320961
93,-0.873916,-0.279043,9.865200,-0.005511,0.002971,-0.005854,41.789986,41.789986,32.914577,-16.321928
94,-0.760863,-0.273659,9.858022,-0.001250,0.001906,-0.001593,41.791405,41.791405,32.913776,-16.320169
95,-0.779705,-0.286221,9.862508,0.003011,-0.000225,-0.003723,41.789974,41.789974,32.915447,-16.320076
96,-0.801239,-0.319419,9.811365,0.000881,0.007232,0.005864,41.790451,41.790451,32.916065,-16.319920
97,-0.815595,-0.301474,9.875967,-0.002315,-0.006617,-0.003723,41.789440,41.789440,32.917828,-16.322029
98,-0.795856,-0.307755,9.813160,-0.004446,0.004036,-0.000528,41.788818,41.788818,32.918556,-16.323448
99,-0.829054,-0.363384,9.855330,-0.001250,-0.010878,-0.006919,41.787849,41.787849,32.918053,-16.324194
100,-0.794061,-0.296091,9.851742,-0.003381,-0.001290,-0.001593,41.787678,41.787678,32.917496,-16.324032
101,-0.765349,-0.280837,9.838283,-0.005511,-0.003421,0.007995,41.787853,41.787853,32.916401,-16.323080
102,-0.824567,-0.339158,9.789831,-0.002315,-0.004486,0.003734,41.790428,41.790428,32.913979,-16.320797
103,-0.810212,-0.304166,9.842769,0.004076,-0.006617,-0.000528,41.790428,41.790428,32.912067,-16.320423
104,-0.775219,-0.353514,9.858919,-0.004446,0.006167,0.001603,41.792610,41.792610,32.912983,-16.318731
105,-0.768041,-0.282632,9.833797,-0.005511,0.002971,0.001603,41.793648,41.793648,32.914120,-16.318022
106,-0.759966,-0.301474,9.830208,-0.005511,-0.005552,-0.003723,41.794670,41.794670,32.911449,-16.318552
107,-0.808417,-0.359795,9.775476,-0.000185,-0.003421,-0.005854,41.794388,41.794388,32.910362,-16.319183
108,-0.749199,-0.300577,9.860714,-0.002315,0.000840,0.000538,41.793514,41.793514,32.911789,-16.320251
109,-0.801239,-0.371459,9.845461,0.001946,0.004036,-0.000528,41.793087,41.793087,32.911926,-16.318638
110,-0.779705,-0.280837,9.869686,-0.005511,0.001906,0.004799,41.794559,41.794559,32.911392,-16.316965
111,-0.787780,-0.323905,9.813160,0.003011,0.001906,0.001603,41.795341,41.795341,32.910694,-16.316282
112,-0.775219,-0.296988,9.828413,-0.004446,-0.006617,-0.001593,41.795311,41.795311,32.910549,-16.316759
113,-0.803931,-0.272762,9.885837,-0.003381,-0.011943,-0.000528,41.795799,41.795799,32.909393,-16.317574
114,-0.781500,-0.264687,9.853536,-0.001250,0.002971,0.000538,41.796680,41.796680,32.908848,-16.316595
115,-0.750993,-0.331083,9.834694,-0.003381,0.000840,-0.003723,41.796688,41.796688,32.909473,-16.316454
116,-0.749199,-0.257509,9.846358,0.004076,0.000840,-0.005854,41.795040,41.795040,32.911335,-16.318663
117,-0.756377,-0.264687,9.805982,0.000881,0.002971,0.000538,41.794960,41.794960,32.913086,-16.319780
118,-0.763555,-0.295193,9.771887,0.005142,-0.002356,-0.000528,41.795616,41.795616,32.910202,-16.318203
119,-0.827259,-0.308652,9.813160,-0.002315,0.001906,0.001603,41.793560,41.793560,32.910702,-16.319189
120,-0.775219,-0.288913,9.828413,0.001946,0.001906,0.003734,41.793655,41.793655,32.912369,-16.319365
121,-0.768041,-0.308652,9.816749,0.004076,0.005101,-0.001593,41.791882,41.791882,32.912426,-16.320059
122,-0.798547,-0.335569,9.760222,-0.000185,0.000840,0.000538,41.791771,41.791771,32.912151,-16.321209
123,-0.789575,-0.285324,9.871481,-0.006577,-0.002356,-0.003723,41.791180,41.791180,32.913132,-16.321987
124,-0.759966,-0.283529,9.777270,-0.001250,0.000840,-0.003723,41.790962,41.790962,32.913582,-16.322100
125,-0.798547,-0.331083,9.848152,-0.003381,0.006167,0.000538,41.790993,41.790993,32.915859,-16.322306
126,-0.760863,-0.305960,9.806879,-0.001250,0.001906,-0.001593,41.790058,41.790058,32.917007,-16.324615
127,-0.734843,-0.333775,9.848152,-0.001250,-0.007682,0.003734,41.789875,41.789875,32.916080,-16.324951
128,-0.773425,-0.276351,9.854433,0.005142,-0.005552,0.001603,41.791039,41.791039,32.915600,-16.324186
129,-0.765349,-0.282632,9.767401,0.003011,-0.007682,-0.000528,41.790459,41.790459,32.915699,-16.323982
130,-0.755480,-0.232386,9.788037,0.000881,-0.006617,-0.004789,41.790245,41.790245,32.915264,-16.326281
131,-0.758171,-0.296091,9.816749,0.004076,-0.002356,0.001603,41.790127,41.790127,32.916237,-16.327662
132,-0.840718,-0.355309,9.895706,0.001946,0.008297,0.001603,41.787907,41.787907,32.917210,-16.327402
133,-0.810212,-0.314035,9.834694,-0.004446,-0.005552,-0.000528,41.787743,41.787743,32.919189,-16.327835
134,-0.840718,-0.257509,9.823927,0.004076,0.005101,0.001603,41.786720,41.786720,32.917152,-16.324846
135,-0.835334,-0.315830,9.848152,-0.003381,-0.002356,0.000538,41.786732,41.786732,32.915623,-16.323488
136,-0.801239,-0.277248,9.788935,-0.001250,-0.002356,0.003734,41.787365,41.787365,32.915775,-16.324465
137,-0.780602,-0.260201,9.814057,-0.003381,-0.008747,-0.002658,41.788483,41.788483,32.914520,-16.324810
138,-0.818287,-0.312241,9.829310,-0.005511,0.005101,0.000538,41.788921,41.788921,32.915257,-16.325413
139,-0.788678,-0.289810,9.775476,-0.000185,-0.002356,-0.004789,41.788601,41.788601,32.913776,-16.328243
140,-0.767144,-0.344542,9.849050,-0.005511,0.005101,-0.000528,41.788204,41.788204,32.914684,-16.329529
141,-0.756377,-0.302371,9.880453,0.003011,-0.002356,-0.007985,41.785374,41.785374,32.915623,-16.332146
142,-0.752788,-0.331083,9.849050,0.003011,0.010428,-0.002658,41.785854,41.785854,32.917515,-16.332241
143,-0.756377,-0.314035,9.791626,-0.000185,0.001906,-0.002658,41.784485,41.784485,32.916920,-16.334557
144,-0.785986,-0.236872,9.805084,-0.000185,0.005101,-0.002658,41.784092,41.784092,32.917824,-16.335964
145,-0.781500,-0.296091,9.863405,0.006207,-0.001290,0.000538,41.783176,41.783176,32.918106,-16.336941
146,-0.744713,-0.257509,9.803290,-0.002315,0.006167,-0.001593,41.784222,41.784222,32.917088,-16.337938
147,-0.803034,-0.297885,9.872378,0.003011,0.007232,-0.001593,41.784668,41.784668,32.917690,-16.337540
148,-0.769836,-0.306858,9.860714,0.007272,0.000840,-0.005854,41.782715,41.782715,32.918343,-16.338842
149,-0.760863,-0.287118,9.819441,0.000881,0.000840,-0.001593,41.783432,41.783432,32.918262,-16.339891
150,-0.789575,-0.279043,9.801496,-0.003381,0.006167,0.006929,41.784447,41.784447,32.917740,-16.338957
151,-0.836232,-0.284426,9.846358,-0.001250,0.008297,0.007995,41.785648,41.785648,32.918030,-16.338779
152,-0.832643,-0.292502,9.800598,0.003011,0.000840,-0.003723,41.785595,41.785595,32.917130,-16.339769
153,-0.793164,-0.276351,9.805982,0.000881,-0.008747,-0.003723,41.785931,41.785931,32.917713,-16.339815
154,-0.833540,-0.326597,9.790729,0.000881,-0.009813,0.000538,41.786819,41.786819,32.917542,-16.340895
155,-0.792267,-0.280837,9.813160,0.000881,0.002971,-0.003723,41.786526,41.786526,32.916821,-16.342117
156,-0.832643,-0.305960,9.805982,0.004076,-0.006617,-0.001593,41.786404,41.786404,32.915268,-16.338886
157,-0.751891,-0.284426,9.800598,-0.003381,-0.005552,-0.002658,41.785919,41.785919,32.914764,-16.340120
158,-0.749199,-0.310447,9.857124,-0.001250,-0.000225,-0.010115,41.786701,41.786701,32.915333,-16.339552
159,-0.820081,-0.271865,9.823927,0.005142,-0.004486,-0.001593,41.786831,41.786831,32.914337,-16.337889
160,-0.815595,-0.371459,9.822132,-0.000185,-0.004486,0.005864,41.788372,41.788372,32.915722,-16.338602
161,-0.772527,-0.312241,9.837385,-0.003381,0.006167,0.003734,41.788651,41.788651,32.918194,-16.338802
162,-0.803931,-0.313138,9.830208,-0.000185,-0.001290,-0.003723,41.788677,41.788677,32.919586,-16.338152
163,-0.749199,-0.270070,9.848152,-0.005511,0.000840,0.005864,41.789909,41.789909,32.919754,-16.339413
164,-0.798547,-0.323008,9.813160,-0.004446,0.004036,-0.002658,41.788074,41.788074,32.919167,-16.338694
165,-0.776116,-0.270070,9.828413,-0.002315,0.006167,-0.002658,41.787781,41.787781,32.920227,-16.340778
166,-0.824567,-0.318522,9.857124,0.005142,-0.003421,-0.000528,41.786858,41.786858,32.918350,-16.340786
167,-0.821876,-0.280837,9.815851,-0.004446,-0.007682,0.000538,41.787571,41.787571,32.917885,-16.340027
168,-0.785986,-0.309549,9.857124,-0.007642,0.005101,0.006929,41.786594,41.786594,32.920422,-16.339798
169,-0.829951,-0.307755,9.866995,0.000881,0.000840,0.001603,41.786133,41.786133,32.919415,-16.339678
170,-0.751891,-0.238667,9.856228,-0.006577,0.000840,-0.003723,41.785992,41.785992,32.918736,-16.340343
171,-0.787780,-0.356206,9.827516,0.005142,-0.000225,0.002668,41.786205,41.786205,32.918781,-16.339479
172,-0.766247,-0.324802,9.762017,-0.000185,-0.004486,-0.001593,41.786720,41.786720,32.918396,-16.338694
173,-0.855074,-0.322111,9.799701,0.009403,-0.000225,0.002668,41.785263,41.785263,32.918026,-16.339108
174,-0.783294,-0.276351,9.839180,0.003011,0.002971,0.000538,41.784813,41.784813,32.919563,-16.340927
175,-0.785089,-0.287118,9.867891,0.004076,-0.001290,-0.003723,41.784039,41.784039,32.918095,-16.339262
176,-0.792267,-0.296988,9.845461,-0.004446,0.009363,0.003734,41.784821,41.784821,32.917015,-16.339685
177,-0.788678,-0.283529,9.797009,0.006207,0.001906,-0.001593,41.784752,41.784752,32.915722,-16.339344
178,-0.809314,-0.296091,9.838283,-0.003381,0.001906,0.003734,41.785297,41.785297,32.918633,-16.340837
179,-0.773425,-0.311344,9.840975,0.003011,-0.006617,-0.005854,41.783474,41.783474,32.920582,-16.342056
180,-0.725871,-0.284426,9.856228,0.000881,0.007232,0.006929,41.783741,41.783741,32.921780,-16.341288
181,-0.782397,-0.340953,9.820338,0.003011,0.000840,-0.000528,41.782333,41.782333,32.918262,-16.340702
182,-0.777013,-0.274557,9.842769,-0.003381,0.001906,0.001603,41.783062,41.783062,32.920334,-16.341148
183,-0.819184,-0.317624,9.797907,-0.000185,-0.004486,-0.006919,41.782154,41.782154,32.920101,-16.341618
184,-0.767144,-0.287118,9.772784,0.003011,-0.006617,0.005864,41.781876,41.781876,32.919010,-16.341158
